충전소명,주소,Latitude,Longitude,ID,충전기 형태,충전기 용량,x,y
파계사 공영주차장,대구광역시 동구 파계로 686파계사 공영주차장(중대동 844-16),35.9904869,128.6365491,2,AC완속,7kW,,
파동교네거리주차장,대구광역시 수성구 파동로 59파동교네거리주차장(파동 495),35.815776,128.6159719,1,DC차데모+AC3상+DC콤보,50kW,,
패션센터 주차장,대구광역시 북구 유통단지로14길 17패션센터 주차장(산격동 1670),35.9060323,128.6119388,1,DC차데모+AC3상+DC콤보,50kW,,
평리1동 행정복지센터,대구광역시 서구 문화로 280평리1동행정복지센터(평리1동 주민센터),35.8755458,128.5631704,1,AC완속,7kW,,
평리3동 행정복지센터,대구광역시 서구 문화로 261평리3동행정복지센터(평리3동 주민센터),35.8759232,128.5613114,1,AC완속,7kW,,
한국도로공사 칠곡영업소,대구광역시 북구 관음로 41한국도로공사 칠곡영업소(관음동 901-2),35.9343879,128.5391831,1,DC차데모+AC3상+DC콤보,50kW,,
한국산업단지 달성출장소,대구광역시 달성군 구지면 달성2차동1로 109한국산업단지 달성출장소(내리 840-3),35.6411855,128.417253,1,DC차데모+AC3상+DC콤보,50kW,,
해안동 행정복지센터,대구광역시 동구 방촌로29길 46해안동행정복지센터(방촌동 822-5),35.8822902,128.671527,1,DC차데모+AC3상+DC콤보,50kW,,
현풍읍 행정복지센터,대구광역시 달성군 현풍읍 비슬로134길 157현풍읍행정복지센터(352-2 현풍읍사무소),35.6974538,128.4476029,1,AC완속,7kW,,
환경공단안심하수처리장,대구광역시 동구 금호강변로 91대구환경공단 안심하수처리장(용계동 828-2),35.8679208,128.6812248,1,DC차데모+AC3상+DC콤보,50kW,,
환경공단안심하수처리장,대구광역시 동구 금호강변로 91대구환경공단 안심하수처리장(용계동 828-2),35.8679208,128.6812248,2,AC완속,7kW,,
환경공단안심하수처리장,대구광역시 동구 금호강변로 91대구환경공단 안심하수처리장(용계동 828-2),35.8679208,128.6812248,3,AC완속,7kW,,
대구시_KS택시주식회사,대구광역시 수성구 희망로 226KS택시주식회사,35.8468797,128.616436,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_고산2동 행정복지센터,대구광역시 수성구 달구벌대로 3091고산2동 행정복지센터(고산2동 행정복지센터 고산2동 행정복지센터),35.8434132,128.6951866,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_고성동 행정복지센터,대구광역시 북구 고성로31길 21,35.8816251,128.5838897,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_공산동 행정복지센터,대구광역시 동구 팔공로91길 9대구시_공산동 행정복지센터(269-1 공산동주민센터),35.9402062,128.6442442,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_남구청,대구광역시 남구 이천로 51,35.8458337,128.5977449,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_남구청,대구광역시 남구 이천로 51,35.8458337,128.5977449,2,AC완속,7kW,,
대구시_남산2동 행정복지센터,대구광역시 중구 명륜로 27-1남산2동 행정복지센터,35.8637977,128.5898904,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_남산3동 행정복지센터,대구광역시 중구 남산로4길 70,35.8598955,128.5855793,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_내당4동,대구광역시 서구 서대구로3길 46대구시_내당4동,35.8589429,128.5519085,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_대구 지식산업센터,대구광역시 북구 오봉로 164대구 지식산업센터,35.9025493,128.5792998,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대구도시철도공사,대구광역시 달서구 월배로 250대구도시철도공사,35.8192863,128.5408989,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대구시청,대구광역시 중구 공평로 88대구시청 지하주차장 내,35.871479,128.601482,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대구유통단지 전자관,대구광역시 북구 유통단지로 45대구유통단지 전자관,35.9071846,128.6070281,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대구유통단지 전자관,대구광역시 북구 유통단지로 45대구유통단지 전자관,35.9071846,128.6070281,2,AC완속,7kW,,
대구시_대구유통단지 전자관,대구광역시 북구 유통단지로 45대구유통단지 전자관,35.9071846,128.6070281,3,AC완속,7kW,,
대구시_대구유통단지 전자관,대구광역시 북구 유통단지로 45대구유통단지 전자관,35.9071846,128.6070281,4,AC완속,7kW,,
대구시_대구유통단지 전자관,대구광역시 북구 유통단지로 45대구유통단지 전자관,35.9071846,128.6070281,5,AC완속,7kW,,
대구시_대구은행 3공단영업부지점,대구광역시 북구 노원동로 2,35.8940841,128.5717372,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대구은행 본점,대구광역시 수성구 달구벌대로 2310대구은행 본점 지상주차장,35.8590849,128.6149899,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대구은행 신암동지점,대구광역시 동구 아양로 2,35.8808189,128.6146049,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대구은행 월배지점,대구광역시 달서구 월배로 109,35.8147523,128.5263034,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대구테크노파크 신기술산업지원센터,대구광역시 달서구 성서공단로 46-17대구테크노파크 신기술산업지원센터,35.8328668,128.4883171,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대명11동 행정복지센터,대구광역시 남구 관문시장4길 53대명11동 행정복지센터,35.8361893,128.5605606,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대명2동 행정복지센터,대구광역시 남구 명덕로32길 30,35.8551955,128.5865096,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대명3동 행정복지센터,대구광역시 남구 명덕로20길 115,35.8522924,128.5792372,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대명4동 행정복지센터,대구광역시 남구 두류공원로20길 19,35.8460094,128.5695338,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대봉2동 주민센터,대구광역시 중구 대봉로47길 31대봉2동 주민센터,35.8587826,128.5993698,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대신동 행정복지센터,대구광역시 중구 달구벌대로389길 50,35.8654979,128.576313,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_대현동 행정복지센터,대구광역시 북구 대현남로5길 18대현동 행정복지센터,35.8822113,128.6058195,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_도동 측백향커뮤니티센터,대구광역시 동구 도평로 245도동 측백향커뮤니티센터(측백향 커뮤니티센터),35.9189585,128.6621228,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_도평동 공영주차장,대구광역시 동구 팔공로24길 71(도동 3-22),35.9093412,128.6447206,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_동촌동 행정복지센터,대구광역시 동구 동촌로11길 5,35.8899751,128.6495657,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_두류3동,대구광역시 달서구 야외음악당로39길 24대구시_두류3동,35.8537336,128.5553966,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_명성푸르지오,대구광역시 북구 침산로 153,35.8890577,128.5904827,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_명성푸르지오,대구광역시 북구 침산로 153,35.8890577,128.5904827,2,AC완속,7kW,,
대구시_명성푸르지오,대구광역시 북구 침산로 153,35.8890577,128.5904827,3,AC완속,7kW,,
대구시_무태조야동 행정복지센터,대구광역시 북구 호국로43길 20,35.9210883,128.5971665,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_방촌동 행정복지센터,대구광역시 동구 동촌로48길 26,35.8801476,128.6653429,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_범물1동,대구광역시 수성구 범안로 76대구시_범물1동,35.8180068,128.646179,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_범어1동,대구광역시 수성구 범어천로 97대구시_범어1동,35.8556691,128.622111,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_본리동 행정복지센터,대구광역시 달서구 당산로 37-14,35.8409724,128.5432185,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_봉덕3동 행정복지센터,대구광역시 남구 중앙대로22길 100,35.8424277,128.5959261,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_산격1동,대구광역시 북구 연암로36길 6대구시_산격1동,35.900159,128.5970809,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_삼덕동,대구광역시 중구 달구벌대로447길 72-11대구시_삼덕동,35.865567,128.6089455,1,AC완속,7kW,,
대구시_상리공원,대구광역시 서구 평리로17길 45대구 서구 중리동 산 198-3 대구시_상리공원,35.8628522,128.5329853,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_상호림공원,대구광역시 달서구 달서대로91길 115상호림공원,35.8384508,128.4791418,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_서대구역(남측) 주차장,대구광역시 서구 와룡로 527서대구역 경부선(고속철도)(이현동 232-1),35.8681941,128.5382878,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_서대구역(남측) 주차장,대구광역시 서구 와룡로 527서대구역 경부선(고속철도)(이현동 232-1),35.8681941,128.5382878,2,DC차데모+AC3상+DC콤보,50kW,,
대구시_서대구역(남측) 주차장,대구광역시 서구 와룡로 527서대구역 경부선(고속철도)(이현동 232-1),35.8681941,128.5382878,5,DC차데모+AC3상+DC콤보,50kW,,
대구시_성당두산위브,대구광역시 달서구 당산로 82,35.8444507,128.5458072,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_성당두산위브,대구광역시 달서구 당산로 82,35.8444507,128.5458072,2,AC완속,7kW,,
대구시_성당두산위브,대구광역시 달서구 당산로 82,35.8444507,128.5458072,3,AC완속,7kW,,
대구시_송현2동 행정복지센터,대구광역시 달서구 월배로83길 120-14,35.8327133,128.5456211,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_수성소방서,대구광역시 수성구 청호로 87실외(1259 수성소방서청사),,,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_수성의료지구,대구광역시 수성구 알파시티1로 83전기차충전소(대흥동 903-1),35.8353269,128.6903668,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_수성의료지구,대구광역시 수성구 알파시티1로 83전기차충전소(대흥동 903-1),35.8353269,128.6903668,2,DC차데모+AC3상+DC콤보,50kW,,
