충전소명,주소,ID,충전기 형태,충전기 용량
대구환경공단(달서천),대구광역시 서구 염색공단로 130대구환경공단(달서천)(비산동 3016),01,DC차데모+AC3상+DC콤보,50kW
대구환경공단(달서천),대구광역시 서구 염색공단로 130대구환경공단(달서천)(비산동 3016),02,AC완속,7kW
대구환경공단(본부),대구광역시 달서구 달서대로 210대구환경공단(본부)(대천동 770),01,DC차데모+AC3상+DC콤보,50kW
대구환경공단(본부),대구광역시 달서구 달서대로 210대구환경공단(본부)(대천동 770),02,AC완속,7kW
대구환경공단(지산),대구광역시 수성구 무학로 112대구환경공단(지산)(두산동 499-4),01,DC차데모+AC3상+DC콤보,50kW
대덕승마장,대구광역시 달서구 앞산순환로 206대덕승마장(송현동 694),01,DC차데모+AC3상+DC콤보,50kW
대명5동 행정복지센터,대구광역시 남구 대명로58길 11대명5동 행정복지센터(대명동 150 대명5동 행정복지센터),01,DC차데모+AC3상+DC콤보,50kW
대명9동행정복지센터,대구광역시 남구 큰골길 53대명9동행정복지센터(2680-7 대명9동주민센터),01,AC완속,7kW
도원동 행정복지센터,대구광역시 달서구 한실로 53도원동행정복지센터(1429-5 도원동행정복지센터),01,AC완속,7kW
동구청,대구광역시 동구 아양로 207동구청(신암동 36-1),01,DC차데모+AC3상+DC콤보,50kW
동구청,대구광역시 동구 아양로 207동구청(신암동 36-1),02,AC완속,7kW
동대구복합환승센터,대구광역시 동구 동부로 149동대구복합환승센터 주차장,01,DC차데모+AC3상+DC콤보,50kW
동대구복합환승센터,대구광역시 동구 동부로 149동대구복합환승센터 주차장,02,AC완속,7kW
동대구복합환승센터,대구광역시 동구 동부로 149동대구복합환승센터 주차장,03,AC완속,7kW
동대구복합환승센터,대구광역시 동구 동부로 149동대구복합환승센터 주차장,04,AC완속,7kW
동림플라자,대구광역시 북구 한강로8길 20동림플라자(금호동 802),01,DC차데모+AC3상+DC콤보,100kW
동인동 행정복지센터,대구광역시 중구 국채보상로142길 19-5동인동행정복지센터(318-5 동인동주민센터),01,AC완속,7kW
동천동 행정복지센터,대구광역시 북구 대천로 81동천동행정복지센터(동천동 행정복지센터),01,AC완속,7kW
동촌유원지 입구 주차장,대구광역시 동구 효동로 1동촌유원지 입구 주차장(효목동 202-27),01,DC차데모+AC3상+DC콤보,50kW
두류12동 행정복지센터,"대구광역시 달서구 성당로51길 32두류1,2동행정복지센터(841-6 두류1,2동행정복지센터)",01,AC완속,7kW
두류공원,대구광역시 달서구 공원순환로 216두류공원(성당동 195-1),01,AC완속,7kW
두류공원,대구광역시 달서구 공원순환로 216두류공원(성당동 195-1),02,AC완속,7kW
두류공원,대구광역시 달서구 공원순환로 216두류공원(성당동 195-1),03,AC완속,7kW
두류공원,대구광역시 달서구 공원순환로 216두류공원(성당동 195-1),04,AC완속,7kW
두산오거리,대구광역시 수성구 지범로 15두산오거리 도로변(두산동 954-10),01,AC완속,7kW
두산오거리,대구광역시 수성구 지범로 15두산오거리 도로변(두산동 954-10),02,AC완속,7kW
두산오거리,대구광역시 수성구 지범로 15두산오거리 도로변(두산동 954-10),03,AC완속,7kW
두산오거리,대구광역시 수성구 지범로 15두산오거리 도로변(두산동 954-10),04,AC완속,7kW
만촌2동 행정복지센터,대구광역시 수성구 무열로 12만촌2동행정복지센터(만촌2동 행정복지센터),01,AC완속,7kW
만촌3동 행정복지센터,대구광역시 수성구 교학로2길 45만촌3동행정복지센터(만촌3동 행정복지센터),01,AC완속,7kW
매천역환승공영주차장,대구광역시 북구 학정로 6매천역환승공영주차장(669 매천역),01,AC완속,7kW
매천역환승공영주차장,대구광역시 북구 학정로 6매천역환승공영주차장(669 매천역),02,AC완속,7kW
명복공원 주차장,대구광역시 수성구 달구벌대로541길 47명복공원 주차장(고모동 산113-3),01,DC차데모+AC3상+DC콤보,50kW
문양역 야외주차장,대구광역시 달성군 다사읍 문양역길 71문양역 야외주차장(문양리 400),01,DC차데모+AC3상+DC콤보,50kW
반야월공영주차장,대구광역시 동구 율하동로 143반야월공영주차장(174-1 동부프라자),01,DC차데모+AC3상+DC콤보,50kW
복현2동 행정복지센터,대구광역시 북구 복현로8길 16-5복현2동행정복지센터(복현2동 행정복지센터),01,AC완속,7kW
복현장미공원,대구광역시 북구 경진로남1길 40복현장미공원(복현동 439-1),01,DC차데모+AC3상+DC콤보,50kW
본동 행정복지센터,대구광역시 달서구 구마로26길 62본동행정복지센터(867-3 본동행정복지센터),01,AC완속,7kW
봉덕2동 행정복지센터,대구광역시 남구 이천로10길 50봉덕2동행정복지센터(540-1 봉덕2동주민센터),01,AC완속,7kW
북구청,대구광역시 북구 옥산로 65북구청(침산동 447-16),01,DC차데모+AC3상+DC콤보,50kW
북구청,대구광역시 북구 옥산로 65북구청(침산동 447-16),02,AC완속,7kW
불로봉무동 행정복지센터,대구광역시 동구 팔공로25길 16불로봉무동행정복지센터(434 불로봉무동행정복지센터),01,AC완속,7kW
비산1동 행정복지센터,대구광역시 서구 북비산로65길 18비산1동행정복지센터(비산1동 주민센터),01,AC완속,7kW
비산4동 행정복지센터,대구광역시 서구 국채보상로78길 29-4비산4동행정복지센터(비산4동 주민센터),01,AC완속,7kW
비슬산자연휴양림공영주차장,대구광역시 달성군 유가읍 일연선사길 99비슬산자연휴양림공영주차장(용리 산10),01,DC차데모+AC3상+DC콤보,50kW
산격2동 행정복지센터,대구광역시 북구 동북로31길 30산격2동행정복지센터(산격2동 행정복지센터),01,AC완속,7kW
상공회의소,대구광역시 동구 동대구로 457상공회의소(신천동 107-2),01,DC차데모+AC3상+DC콤보,50kW
상동 행정복지센터,대구광역시 수성구 들안로9길 56상동행정복지센터(상동 행정복지센터),01,AC완속,7kW
상인1동 행정복지센터,대구광역시 달서구 상인서로 40상인1동행정복지센터(1528 상인1동행정복지센터),01,AC완속,7kW
