충전소명,주소,ID,충전기 형태,충전기 용량
대구시_대구은행 월배지점,대구광역시 달서구 월배로 109,01,DC차데모+AC3상+DC콤보,50kW
대구시_대구테크노파크 신기술산업지원센터,대구광역시 달서구 성서공단로 46-17대구테크노파크 신기술산업지원센터,01,DC차데모+AC3상+DC콤보,50kW
대구시_대명11동 행정복지센터,대구광역시 남구 관문시장4길 53대명11동 행정복지센터,01,DC차데모+AC3상+DC콤보,50kW
대구시_대명2동 행정복지센터,대구광역시 남구 명덕로32길 30,01,DC차데모+AC3상+DC콤보,50kW
대구시_대명3동 행정복지센터,대구광역시 남구 명덕로20길 115,01,DC차데모+AC3상+DC콤보,50kW
대구시_대명4동 행정복지센터,대구광역시 남구 두류공원로20길 19,01,DC차데모+AC3상+DC콤보,50kW
대구시_대봉2동 주민센터,대구광역시 중구 대봉로47길 31대봉2동 주민센터,01,DC차데모+AC3상+DC콤보,50kW
대구시_대신동 행정복지센터,대구광역시 중구 달구벌대로389길 50,01,DC차데모+AC3상+DC콤보,50kW
대구시_대현동 행정복지센터,대구광역시 북구 대현남로5길 18대현동 행정복지센터,01,DC차데모+AC3상+DC콤보,50kW
대구시_도동 측백향커뮤니티센터,대구광역시 동구 도평로 245도동 측백향커뮤니티센터(측백향 커뮤니티센터),01,DC차데모+AC3상+DC콤보,100kW
대구시_도평동 공영주차장,대구광역시 동구 팔공로24길 71(도동 3-22),01,DC차데모+AC3상+DC콤보,50kW
대구시_동촌동 행정복지센터,대구광역시 동구 동촌로11길 5,01,DC차데모+AC3상+DC콤보,50kW
대구시_두류3동,대구광역시 달서구 야외음악당로39길 24대구시_두류3동,01,DC차데모+AC3상+DC콤보,100kW
대구시_명성푸르지오,대구광역시 북구 침산로 153,01,DC차데모+AC3상+DC콤보,50kW
대구시_명성푸르지오,대구광역시 북구 침산로 153,02,AC완속,7kW
대구시_명성푸르지오,대구광역시 북구 침산로 153,03,AC완속,7kW
대구시_무태조야동 행정복지센터,대구광역시 북구 호국로43길 20,01,DC차데모+AC3상+DC콤보,50kW
대구시_방촌동 행정복지센터,대구광역시 동구 동촌로48길 26,01,DC차데모+AC3상+DC콤보,50kW
대구시_범물1동,대구광역시 수성구 범안로 76대구시_범물1동,01,DC차데모+AC3상+DC콤보,100kW
대구시_범어1동,대구광역시 수성구 범어천로 97대구시_범어1동,01,DC차데모+AC3상+DC콤보,100kW
대구시_본리동 행정복지센터,대구광역시 달서구 당산로 37-14,01,DC차데모+AC3상+DC콤보,50kW
대구시_봉덕3동 행정복지센터,대구광역시 남구 중앙대로22길 100,01,DC차데모+AC3상+DC콤보,50kW
대구시_산격1동,대구광역시 북구 연암로36길 6대구시_산격1동,01,DC차데모+AC3상+DC콤보,100kW
대구시_삼덕동,대구광역시 중구 달구벌대로447길 72-11대구시_삼덕동,01,AC완속,7kW
대구시_상리공원,대구광역시 서구 평리로17길 45대구 서구 중리동 산 198-3 대구시_상리공원,01,DC차데모+AC3상+DC콤보,100kW
대구시_상호림공원,대구광역시 달서구 달서대로91길 115상호림공원,01,DC차데모+AC3상+DC콤보,50kW
대구시_서대구역(남측) 주차장,대구광역시 서구 와룡로 527서대구역 경부선(고속철도)(이현동 232-1),01,DC차데모+AC3상+DC콤보,50kW
대구시_서대구역(남측) 주차장,대구광역시 서구 와룡로 527서대구역 경부선(고속철도)(이현동 232-1),02,DC차데모+AC3상+DC콤보,50kW
대구시_서대구역(남측) 주차장,대구광역시 서구 와룡로 527서대구역 경부선(고속철도)(이현동 232-1),05,DC차데모+AC3상+DC콤보,50kW
대구시_성당두산위브,대구광역시 달서구 당산로 82,01,DC차데모+AC3상+DC콤보,50kW
대구시_성당두산위브,대구광역시 달서구 당산로 82,02,AC완속,7kW
대구시_성당두산위브,대구광역시 달서구 당산로 82,03,AC완속,7kW
대구시_송현2동 행정복지센터,대구광역시 달서구 월배로83길 120-14,01,DC차데모+AC3상+DC콤보,50kW
대구시_수성소방서,대구광역시 수성구 청호로 87실외(1259 수성소방서청사),01,DC차데모+AC3상+DC콤보,100kW
대구시_수성의료지구,대구광역시 수성구 알파시티1로 83전기차충전소(대흥동 903-1),01,DC차데모+AC3상+DC콤보,50kW
대구시_수성의료지구,대구광역시 수성구 알파시티1로 83전기차충전소(대흥동 903-1),02,DC차데모+AC3상+DC콤보,50kW
대구시_수성의료지구,대구광역시 수성구 알파시티1로 83전기차충전소(대흥동 903-1),04,DC차데모+AC3상+DC콤보,50kW
대구시_수성의료지구,대구광역시 수성구 알파시티1로 83전기차충전소(대흥동 903-1),05,AC완속,7kW
대구시_수성의료지구(대구도시공사),대구광역시 수성구 알파시티1로 194(대흥동 841-1),01,DC차데모+AC3상+DC콤보,50kW
대구시_수성의료지구(대구도시공사),대구광역시 수성구 알파시티1로 194(대흥동 841-1),02,DC차데모+AC3상+DC콤보,50kW
대구시_수성의료지구(대구도시공사),대구광역시 수성구 알파시티1로 194(대흥동 841-1),03,DC차데모+AC3상+DC콤보,50kW
대구시_신당동,대구광역시 달서구 선원로 60대구시_신당동,01,DC차데모+AC3상+DC콤보,100kW
대구시_신매공원,대구광역시 수성구 달구벌대로652길 65대구광역시 수성구 신매동 290-1,01,DC차데모+AC3상+DC콤보,50kW
대구시_신매공원,대구광역시 수성구 달구벌대로652길 65대구광역시 수성구 신매동 290-1,02,AC완속,7kW
대구시_신암1동 행정복지센터,대구광역시 동구 아양로7길 27대구시_신암1동 행정복지센터(722-293 신암1동행정복지센터),01,DC차데모+AC3상+DC콤보,100kW
대구시_신암2동 행정복지센터,대구광역시 동구 신성로 56,01,DC차데모+AC3상+DC콤보,50kW
대구시_안심1동 행정복지센터,대구광역시 동구 율하동로25길 5,01,DC차데모+AC3상+DC콤보,50kW
대구시_안심4동 행정복지센터,대구광역시 동구 안심로49길 98안심4동 행정복지센터(14-1 안심4동주민센터),01,DC차데모+AC3상+DC콤보,50kW
대구시_옥포읍 행정복지센터,대구광역시 달성군 옥포읍 비슬로 2215,01,DC차데모+AC3상+DC콤보,50kW
대구시_운암지 공영주차장,대구광역시 북구 구암로 217운암지 공영주차장,01,DC차데모+AC3상+DC콤보,50kW
대구시_운암지 공영주차장,대구광역시 북구 구암로 217운암지 공영주차장,02,DC차데모+AC3상+DC콤보,50kW
대구시_월촌공원주차장,대구광역시 달서구 상인로 68-4월촌공원주차장,01,DC차데모+AC3상+DC콤보,50kW
대구시_월촌공원주차장,대구광역시 달서구 상인로 68-4월촌공원주차장,02,DC차데모+AC3상+DC콤보,50kW
대구시_유가읍 행정복지센터,대구광역시 달성군 유가읍 테크노상업로 95,01,DC차데모+AC3상+DC콤보,50kW
대구시_유가읍 행정복지센터,대구광역시 달성군 유가읍 테크노상업로 95,02,DC차데모+AC3상+DC콤보,50kW
대구시_유가읍 행정복지센터,대구광역시 달성군 유가읍 테크노상업로 95,03,AC완속,7kW
대구시_유가읍 행정복지센터,대구광역시 달성군 유가읍 테크노상업로 95,04,AC완속,7kW
대구시_유가읍 행정복지센터,대구광역시 달성군 유가읍 테크노상업로 95,05,AC완속,7kW
대구시_유천동 행정복지센터,대구광역시 달서구 조암로 175유천동행정복지센터(유천동 606),01,DC차데모+AC3상+DC콤보,50kW
대구시_장기공영주차장,대구광역시 달서구 장기로 277장기공영주차장,01,DC차데모+AC3상+DC콤보,50kW
대구시_저소득층 밀집지구 지식산업센터,대구광역시 수성구 알파시티1로 160저소득층 밀집지구 지식산업센터,01,DC차데모+AC3상+DC콤보,50kW
대구시_중구청,대구광역시 중구 국채보상로139길 1,01,DC차데모+AC3상+DC콤보,50kW
대구시_지능형자동차부품진흥원,대구광역시 달성군 구지면 국가산단서로 201지능형자동차부품진흥원(창리 945),01,DC차데모+AC3상+DC콤보,50kW
대구시_지능형자동차부품진흥원,대구광역시 달성군 구지면 국가산단서로 201지능형자동차부품진흥원(창리 945),02,DC차데모+AC3상+DC콤보,50kW
대구시_지산2동,대구광역시 수성구 용학로33길 9대구시_지산2동,01,DC차데모+AC3상+DC콤보,100kW
대구시_지저동,대구광역시 동구 해동로3길 80대구시_지저동,01,DC차데모+AC3상+DC콤보,100kW
대구시_진천삼성래미안,대구광역시 달서구 상화로8길 23,01,DC차데모+AC3상+DC콤보,50kW
